"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2023","2023",685,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2024","2024",693,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2019","2019",498,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",491,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2021","2021",467,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2022","2022",432,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2023","2023",437,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2024","2024",438,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2019","2019",465,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",490,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2021","2021",466,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2022","2022",453,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2023","2023",472,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2024","2024",404,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2019","2019",765,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",753,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2021","2021",737,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2022","2022",730,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2023","2023",693,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2024","2024",687,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2019","2019",503,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",507,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2021","2021",497,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2022","2022",475,,
