y_pred_hmm_multi_state,y_pred_hmm_one_state,y_test,y_pred_glm,error_hmm_ms,error_hmm_os,error_glm,error_glm_rounded,error_hmm_ms_rounded,error_hmm_os_rounded
0.6415685,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.810558,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.3127847,2.3191764,3,1,-2.0,-1.0,-2,-2,-2,-1
0.8568286,0.0011534608,3,1,-2.0,-3.0,-2,-2,-2,-3
0.11914759,3.108186e-05,1,1,-1.0,-1.0,0,0,-1,-1
0.13820913,2.7415494e-05,0,1,0.0,0.0,1,1,0,0
0.7189311,1.3974426,1,1,0.0,0.0,0,0,0,0
0.49968225,0.0002350447,0,1,0.0,0.0,1,1,0,0
1.376934,2.3191764,0,1,1.0,2.0,1,1,1,2
0.11914759,3.108186e-05,1,1,-1.0,-1.0,0,0,-1,-1
1.0516639,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
1.4196578,2.400095,0,1,1.0,2.0,1,1,1,2
1.0020081,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.2851737,0.000266478,2,1,-2.0,-2.0,-1,-1,-2,-2
0.681092,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.810558,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.4427181,0.0002350447,0,1,0.0,0.0,1,1,0,0
0.49968225,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.37144986,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.11914759,3.108186e-05,1,1,-1.0,-1.0,0,0,-1,-1
0.8568286,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.37144986,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.681092,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.11543284,3.108186e-05,0,1,0.0,0.0,1,1,0,0
0.7657261,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
1.4065269,2.3191764,0,1,1.0,2.0,1,1,1,2
0.95280325,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
1.694305,2.4977822,3,1,-1.0,-1.0,-2,-2,-1,-1
0.13820913,2.7415494e-05,1,1,-1.0,-1.0,0,0,-1,-1
0.47022456,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.6946604,1.3974426,1,1,0.0,0.0,0,0,0,0
0.31775862,0.00013453902,1,1,-1.0,-1.0,0,0,-1,-1
0.8568286,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.49968225,0.0002350447,3,1,-3.0,-3.0,-2,-2,-3,-3
0.810558,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.6135185,2.4977822,2,1,0.0,0.0,-1,-1,0,0
0.2704289,0.000266478,2,1,-2.0,-2.0,-1,-1,-2,-2
0.13820913,2.7415494e-05,0,1,0.0,0.0,1,1,0,0
0.8568286,0.0011534608,4,1,-3.0,-4.0,-3,-3,-3,-4
0.722519,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.2704289,0.000266478,0,1,0.0,0.0,1,1,0,0
0.37144986,0.0002350447,2,1,-2.0,-2.0,-1,-1,-2,-2
0.11543284,3.108186e-05,0,1,0.0,0.0,1,1,0,0
0.4427181,0.0002350447,0,1,0.0,0.0,1,1,0,0
0.332627,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.56450254,0.0002350447,0,1,1.0,0.0,1,1,1,0
0.2704289,0.000266478,1,1,-1.0,-1.0,0,0,-1,-1
0.95280325,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.2569641,0.000266478,0,1,0.0,0.0,1,1,0,0
0.2569641,0.000266478,1,1,-1.0,-1.0,0,0,-1,-1
0.39339125,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.681092,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.9043235,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.332627,0.0002350447,0,1,0.0,0.0,1,1,0,0
1.2297367,2.400095,0,1,1.0,2.0,1,1,1,2
0.37640673,0.00013453902,4,1,-4.0,-4.0,-3,-3,-4,-4
0.332627,0.0002350447,2,1,-2.0,-2.0,-1,-1,-2,-2
0.18330798,2.7415494e-05,1,1,-1.0,-1.0,0,0,-1,-1
1.0020081,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.19236553,2.7415494e-05,0,1,0.0,0.0,1,1,0,0
0.6415685,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.35582808,0.00013453902,2,1,-2.0,-2.0,-1,-1,-2,-2
0.7657261,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.11206641,3.108186e-05,1,1,-1.0,-1.0,0,0,-1,-1
0.810558,0.0011534608,0,1,1.0,0.0,1,1,1,0
